Index,Part Code,SAP Code,Material Description,Part Type,Packaging,Final Code,Noted,Dup check,Final Part Type,10-12M,13-24M,25-36M,>36M,Old SAP code,Program,Part type Detail,IDN
116,0149-2722,600014625,149-2722 - FILTER - FUEL ( RES21248),Fleetguard,,0149-2722,,1,Fleetguard,,,,,,,Fleetguard,
117,0149-2723,600014626,149-2723 - FILTER FUEL (RE520842),Fleetguard,,0149-2723,,1,Fleetguard,,,,,,,Fleetguard,
118,0149-2804,600098209,0149-2804-FILTER-FUEL ,New parts,1,0149-2804,,1,Parts,,,,,,,New parts,
119,0149-2827,600018165,149-2827 - FILTER-FUEL,Fleetguard,1,0149-2827,,1,Fleetguard,,,,,,,Fleetguard,
120,0149-2828,600016723,149-2828 - FILTER-FUEL,Fleetguard,1,0149-2828,,1,Fleetguard,,,,,,,Fleetguard,
121,0149-2868,600066398,149-2868- GASKET-FUEL PUMP,New parts,1,0149-2868,,1,Parts,,,,,,,New parts,
122,0149-2876,600081445,0149-2876 - PUMP-FUEL,New parts,1,0149-2876,,1,Parts,,,,,,,New parts,
123,0149-2880,600081269,0149-2880 - STRAINER-FUEL,New parts,1,0149-2880,,1,Parts,,,,,,,New parts,
124,0149-2883,600016724,149-2883 - FILTER-FUEL,New parts,1,0149-2883,,1,Parts,,,,,,,New parts,
125,0149-2886,600080419,0149-2886 - FUEL FEED PUMP,New parts,1,0149-2886,,1,Parts,,,,,,,New parts,
126,0149-2932,600031735,149-2932-ELEMENT FUEL FILTER,Fleetguard,1,0149-2932,,1,Fleetguard,,,,,,,Fleetguard,
127,0149-2943,600068981,149-2943- LOC NHIEN LIEU,New parts,,0149-2943,,1,Parts,,,,,,,New parts,
128,0149-2945,600093997,0149-2945 - PUMP-FUEL,New parts,1,0149-2945,,1,Parts,,,,,,,New parts,
129,0149-2949,600080420,0149-2949 - PUMP-FUEL,New parts,1,0149-2949,,1,Parts,,,,,,,New parts,
130,0149-2952,600093998,0149-2952 - FUEL FILTER ELEMENT,New parts,1,0149-2952,,1,Parts,,,,,,,New parts,
131,0149-2967,600079935,0149-2967 - ELEMENT-FUEL FILTER,New parts,1,0149-2967,,1,Parts,,,,,,,New parts,
132,0150-2201,600000318,150-2201-Sensor Pickup,New parts,1,0150-2201,,1,Parts,,,,,,,New parts,
133,0150-2611-02,600032482,150-2611-02-CONTROL ELEC GOV 24V,New parts,1,0150-2611-02,,1,Parts,,,,,,,New parts,
134,0150-2651,600044599,150-2651-PICK UP MAGNETIC,New parts,1,0150-2651,,1,Parts,,,,,,,New parts,
135,0150-2692-01,600044595,150-2692-01-GOVERNOR,New parts,1,0150-2692-01,,1,Parts,,,,,,,New parts,
136,0150-2915,600019822,150-2915- PICKUP-MAGNETIC,New parts,1,0150-2915,,1,Parts,,,,,,,New parts,
137,0150-2917,600026844,150-2917 -THROTTLE CONTROL,New parts,1,0150-2917,,1,Parts,,,,,,,New parts,
138,0150-3011,600031888,150-3011-ELECTRONIC GOVERNOR,New parts,1,0150-3011,,1,Parts,,,,,,,New parts,
139,0151-0411,600081295,0151-0411 - PICK UP-MAGNETIC,New parts,1,0151-0411,,1,Parts,,,,,,,New parts,
140,0151-0612,600031045,151-0612-ACTUATOR 24V,New parts,1,0151-0612,,1,Parts,,,,,,,New parts,
141,0151-0637-01,600000321,151-0637-01 Electric Fuel Control,New parts,1,0151-0637-01,,1,Parts,,,,,,,New parts,
142,0151-0715-01,600044596,151-0715-01-GOVERNOR,New parts,1,0151-0715-01,,1,Parts,,,,,,,New parts,
143,0154-3266,600080421,0154-3266 - MANIFOLD-EXHAUST,New parts,1,0154-3266,,1,Parts,,,,,,,New parts,
144,0155-2437,600009523,155-2437 - ACC/EXH ELBOW,New parts,,0155-2437,,1,Parts,,,,,,,New parts,
145,0155-2570,600069429,0155-2570- KEP ONG,New parts,1,0155-2570,,1,Parts,,,,,,,New parts,
146,0155-4350,600066434,155-4350-PIPE EXHAUST (KIT) C550 ENCL,New parts,,0155-4350,,1,Parts,,,,,,,New parts,
147,0155-4807,600081270,0155-4807 - GASKET-EXHAUST (AX1004640),New parts,1,0155-4807,,1,Parts,,,,,,,New parts,
148,0155-5076,600081271,0155-5076 - GASKET-EXHAUST,New parts,1,0155-5076,,1,Parts,,,,,,,New parts,
149,0159-1581-03,600066701,159-1581-03-TANK FUEL,New parts,1,0159-1581-03,,1,Parts,,,,,,,New parts,
150,0159-1619,600048788,159-1619-INDICATOR -FUEL (230LG),New parts,1,0159-1619,,1,Parts,,,,,,,New parts,
151,0185-0685,600030105,185-0685 - METAL CRANKSHAFT,New parts,,0185-0685,,1,Parts,,,,,,,New parts,
152,0185-0686,600030106,185-0686-BEARING CRANKSHAFT,New parts,,0185-0686,,1,Parts,,,,,,,New parts,
153,0185-5889,600030107,185-5889 -MAIN BRG CASE ASSY,New parts,1,0185-5889,,1,Parts,,,,,,,New parts,
154,0185-5890,600030108,185-5890-BOLT BEARING CASE,New parts,1,0185-5890,,1,Parts,,,,,,,New parts,
155,0185-5896,600030109,185-5896-MAIN BRG CASE ASSY,New parts,1,0185-5896,,1,Parts,,,,,,,New parts,
156,0185-5897,600030200,185-5897-MAIN BRG CASE ASSY,New parts,1,0185-5897,,1,Parts,,,,,,,New parts,
157,0185-5898,600030201,185-5898-MAIN BRG CASE ASSY,New parts,1,0185-5898,,1,Parts,,,,,,,New parts,
158,0185-5899,600030202,185-5899-BOLT BRG CASE,New parts,1,0185-5899,,1,Parts,,,,,,,New parts,
159,0185-5917,600030203,185-5917 - CONNECTING ROD ASSY,New parts,1,0185-5917,,1,Parts,,,,,,,New parts,
160,0185-5923,600030204,185-5923 - CRANKSHAFT,New parts,1,0185-5923,,1,Parts,,,,,,,New parts,
161,0185-5925,600080012,0185-5925 - SLEEVE CRANKSHAFT,New parts,1,0185-5925,,1,Parts,,,,,,,New parts,
162,0185-5938,600080013,0185-5938 - METAL-SIDE,New parts,1,0185-5938,,1,Parts,,,,,,,New parts,
163,0185-5947,600080014,0185-5947 - BEARING,New parts,1,0185-5947,,1,Parts,,,,,,,New parts,
164,0185-5961,600080015,0185-5961 - BEARING,New parts,1,0185-5961,,1,Parts,,,,,,,New parts,
165,0185-5994,600048786,185-5994-ALTERNATOR ASSY,New parts,1,0185-5994,,1,Parts,,,,,,,New parts,
166,0185-6005,600080016,0185-6005 - THERMOSTAT ASSY,New parts,1,0185-6005,,1,Parts,,,,,,,New parts,
167,0185-6076,600080017,0185-6076 - BEARING SET STD,New parts,1,0185-6076,,1,Parts,,,,,,,New parts,
168,0185-6086,600080018,0185-6086 - BEARING-CRANKSHAFT,New parts,1,0185-6086,,1,Parts,,,,,,,New parts,
169,0185-6095,600080019,0185-6095 - PIECE-NOZZLE,New parts,1,0185-6095,,1,Parts,,,,,,,New parts,
170,0185-6138,600080020,0185-6138 - PLUNGER PUMP,New parts,1,0185-6138,,1,Parts,,,,,,,New parts,
171,0185-6139,600080021,0185-6139 - VALVE-DELIVERY,New parts,1,0185-6139,,1,Parts,,,,,,,New parts,
172,0185-6140,600080022,0185-6140 - SPRING-DELIV VALVE,New parts,1,0185-6140,,1,Parts,,,,,,,New parts,
173,0185-6141,600080023,0185-6141 - GASKET-DELIV VALVE,New parts,1,0185-6141,,1,Parts,,,,,,,New parts,
174,0185-6147,600080024,0185-6147 - SPRING-PLUNGER,New parts,1,0185-6147,,1,Parts,,,,,,,New parts,
175,0185-6155,600080025,0185-6155 - O RING,New parts,1,0185-6155,,1,Parts,,,,,,,New parts,
176,0185-7444-00,600091780,0185-7444-00 - FILTER-OIL,New parts,,0185-7444-00,,1,Parts,,,,,,,New parts,
177,0186-6647,600095670,0186-6647 - PICKUP-MAGNETIC,New parts,1,0186-6647,,1,Parts,,,,,,,New parts,
178,0191-2103,600017540,191-2103 - STARTER,New parts,,0191-2103,,1,Parts,,,,,,,New parts,
179,0191-2277-01,600031541,191-2277-01-VOLTAGE REGULATOR KIT,New parts,1,0191-2277-01,,1,Parts,,,,,,,New parts,
180,0191-2326-01,600031046,191-2326-01-ALTERNATOR-12V,New parts,1,0191-2326-01,,1,Parts,,,,,,,New parts,
181,0191-2326-02,600003969,"191-2326-02-Alternator-24V,55A",New parts,1,0191-2326-02,,1,Parts,,,,,,,New parts,
182,0191-2347,600003990,191-2347 - STARTER MOTOR,New parts,1,0191-2347,,1,Parts,,,,,,,New parts,
183,0191-2459,600080422,0191-2459 - ALTERNATOR BATT CHGR(AX10049,New parts,1,0191-2459,,1,Parts,,,,,,,New parts,
184,0191-2460,600080423,0191-2460 - STARTER MOTOR - ENGINE (AX10,New parts,1,0191-2460,,1,Parts,,,,,,,New parts,
185,0191-2532,600095373,0191-2532 - ALTERNATOR,New parts,1,0191-2532,,1,Parts,,,,,,,New parts,
186,0191-2534,600080424,0191-2534 - STARTER MOTOR,New parts,1,0191-2534,,1,Parts,,,,,,,New parts,
187,0191-2536,600093995,0191-2536 - STARTER MOTOR,New parts,1,0191-2536,,1,Parts,,,,,,,New parts,
188,0193-0244-99,600025983,193-0244-99 - SENDER -OIL PRESSURE,New parts,1,0193-0244-99,,1,Parts,,,,,,,New parts,
189,0193-0250,600003970,193-0250-Resistor,New parts,1,0193-0250,,1,Parts,,,,,,,New parts,
190,0193-0318,600092789,0193-0318 - SENDER-WATER TEMP,New parts,1,0193-0318,,1,Parts,,,,,,,New parts,
