Index,Part Code,SAP Code,Material Description,Part Type,Packaging,Final Code,Noted,Dup check,Final Part Type,10-12M,13-24M,25-36M,>36M,Old SAP code,Program,Part type Detail,IDN
3376,3905114,600088342,"3905114-CABLE,ENGINE HEATER",New parts,1,3905114,,1,Parts,,,,,,,New parts,
3377,3905152,600001732,"3905152 - spring, compression",New parts,1,3905152,,1,Parts,,,,,,,New parts,
3378,3905155,600080372,"3905155 - RETAINER,INJECTOR NOZZLE",New parts,1,3905155,,1,Parts,,,,,,,New parts,
3379,3905156,600001734,3905156-List Bosh Inj Part,New parts,1,3905156,,1,Parts,,,,,,,New parts,
3380,3905157,600001735,3905157-List Bosh Inj Part,New parts,1,3905157,,1,Parts,,,,,,,New parts,
3381,3905158,600001736,3905158-List Bosh Inj Part,New parts,1,3905158,,1,Parts,,,,,,,New parts,
3382,3905159,600001737,3905159-List Bosh Inj Part,New parts,5,3905159,,1,Parts,,,,,,,New parts,
3383,3905160,600001738,3905160-List Bosh Inj Part,New parts,1,3905160,,1,Parts,,,,,,,New parts,
3384,3905161,600001739,3905161-List Bosh Inj Part,New parts,1,3905161,,1,Parts,,,,,,,New parts,
3385,3905161S,600022132,3905161S-MINDER GAGE,Fleetguard,6,3905161S,,1,Fleetguard,,,,,,,Fleetguard,
3386,3905162,600001740,3905162-List Bosh Inj Part,New parts,5,3905162,,1,Parts,,,,,,,New parts,
3387,3905163,600001741,3905163-List Bosh Inj Part,New parts,1,3905163,,1,Parts,,,,,,,New parts,
3388,3905164,600001742,3905164-List Bosh Inj Part,New parts,1,3905164,,1,Parts,,,,,,,New parts,
3389,3905165,600001743,3905165-List Bosh Inj Part,New parts,1,3905165,,1,Parts,,,,,,,New parts,
3390,3905166,600001744,3905166-List Bosh Inj Part,New parts,1,3905166,,1,Parts,,,,,,,New parts,
3391,3905167,600001745,3905167-List Bosh Inj Part,New parts,1,3905167,,1,Parts,,,,,,,New parts,
3392,3905168,600001746,3905168-List Bosh Inj Part,New parts,1,3905168,,1,Parts,,,,,,,New parts,
3393,3905169,600001747,3905169-List Bosh Inj Part,New parts,1,3905169,,1,Parts,,,,,,,New parts,
3394,3905170,600001748,3905170-List Bosh Inj Part,New parts,1,3905170,,1,Parts,,,,,,,New parts,
3395,3905171,600001749,3905171-List Bosh Inj Part,New parts,1,3905171,,1,Parts,,,,,,,New parts,
3396,3905172,600001750,3905172-List Bosh Inj Part,New parts,1,3905172,,1,Parts,,,,,,,New parts,
3397,3905173,600001751,3905173-List Bosh Inj Part,New parts,1,3905173,,1,Parts,,,,,,,New parts,
3398,3905174,600001752,3905174-List Bosh Inj Part,New parts,1,3905174,,1,Parts,,,,,,,New parts,
3399,3905175,600001753,3905175-List Bosh Inj Part,New parts,1,3905175,,1,Parts,,,,,,,New parts,
3400,3905176,600001754,3905176-List Bosh Inj Part,New parts,1,3905176,,1,Parts,,,,,,,New parts,
3401,3905177,600001755,3905177-List Bosh Inj Part,New parts,1,3905177,,1,Parts,,,,,,,New parts,
3402,3905178,600001756,3905178-List Bosh Inj Part,New parts,1,3905178,,1,Parts,,,,,,,New parts,
3403,3905180,600001757,3905180-List Bosh Inj Part,New parts,1,3905180,,1,Parts,,,,,,,New parts,
3404,3905181,600001758,3905181-List Bosh Inj Part,New parts,1,3905181,,1,Parts,,,,,,,New parts,
3405,3905182,600001759,3905182-List Bosh Inj Part,New parts,5,3905182,,1,Parts,,,,,,,New parts,
3406,3905183,600001760,3905183-List Bosh Inj Part,New parts,,3905183,,1,Parts,,,,,,,New parts,
3407,3905184,600001761,3905184-List Bosh Inj Part,New parts,1,3905184,,1,Parts,,,,,,,New parts,
3408,3905185,600001762,3905185-List Bosh Inj Part,New parts,1,3905185,,1,Parts,,,,,,,New parts,
3409,3905186,600001763,3905186-List Bosh Inj Part,New parts,1,3905186,,1,Parts,,,,,,,New parts,
3410,3905194,600001764,3905194-Rod Push,New parts,6,3905194,,1,Parts,,,,,,,New parts,
3411,3905216,600074589,3905216 - KEP ONG,New parts,1,3905216,,1,Parts,,,,,,,New parts,
3412,3905223,600082637,"3905223-CONNECTION,OIL SUCTION",New parts,1,3905223,,1,Parts,,,,,,,New parts,
3413,3905307,600004141,3905307- SCREW BANJO CONNECTOR,New parts,50,3905307,,1,Parts,,,,,,,New parts,
3414,3905351,600001765,3905351-Seal Gromet,New parts,6,3905351,,1,Parts,,,,,,,New parts,
3415,3905353,600001766,3905353-Tee Male Union,New parts,1,3905353,,1,Parts,,,,,,,New parts,
3416,3905363,600001767,3905363-Tube Fuel Supply,New parts,1,3905363,,1,Parts,,,,,,,New parts,
3417,3905364,600001768,"3905364-Tube, fuel supply",New parts,1,3905364,,1,Parts,,,,,,,New parts,
3418,3905368,600089546,"3905368-PLUG,EXPANSION",New parts,1,3905368,,1,Parts,,,,,,,New parts,
3419,3905375,600001769,3905375-Tube Fuel Supply,New parts,1,3905375,,1,Parts,,,,,,,New parts,
3420,3905388,600001770,3905388-Tee Male Union,New parts,1,3905388,,1,Parts,,,,,,,New parts,
3421,3905391,600001771,3905391-Seal Cromet,New parts,10,3905391,,1,Parts,,,,,,,New parts,
3422,3905401,600077667,"3905401-PLUG,EXPANSION",New parts,4,3905401,,1,Parts,,,,,,,New parts,
3423,3905427,600001772,3905427-Flywheel ring,New parts,1,3905427,,1,Parts,,,,,,,New parts,
3424,3905449,600001773,3905449-Gasket Valve Cover,New parts,4,3905449,,1,Parts,,,,,,,New parts,
3425,3906100,600001775,3906100-Washer Spring,New parts,20,3906100,,1,Parts,,,,,,,New parts,
3426,3906206,600001776,"3906206-Guide, valve Stem",New parts,2,3906206,,1,Parts,,,,,,,New parts,
3427,3906216,600043376,"3906216- NUT, HEXAGON FLANGE",New parts,12,3906216,,1,Parts,,,,,,,New parts,
3428,3906389,600088343,"3906389-HEATER,ENGINE",New parts,1,3906389,,1,Parts,,,,,,,New parts,
3429,3906391,600082314,"3906391 - SCREW,SOCKET HEAD CAP",New parts,1,3906391,,1,Parts,,,,,,,New parts,
3430,3906619,600089577,3906619-Pipe Plug,New parts,12,3906619,,1,Parts,,,,,,,New parts,
3431,3906659,600001779,3906659-Seal Injector,New parts,5,3906659,,1,Parts,,,,,,,New parts,
3432,3906660,600080902,"3906660-MANIFOLD,EXHAUST",New parts,1,3906660,,1,Parts,,,,,,,New parts,
3433,3906694,600009327,"3906694 - SEAL , RECTANGULAR RING",New parts,6,3906694,,1,Parts,,,,,,,New parts,
3434,3906697,600001780,3906697-Seal O Ring,New parts,25,3906697,,1,Parts,,,,,,,New parts,
3435,3906698,600001781,3906698-Seal Rectangular,New parts,6,3906698,,1,Parts,,,,,,,New parts,
3436,3906733,600102385,"3906733-SCREW,HEX FLANGE HEAD CAP",New parts,4,3906733,,1,Parts,,,,,,,New parts,
3437,3906773,600096096,"3906773 - WASHER,SEALING",New parts,5,3906773,,1,Parts,,,,,,,New parts,
3438,3906854,600001786,3906854-Insert Valve,New parts,1,3906854,,1,Parts,,,,,,,New parts,
3439,3907007,600089578,3907007-Water Inlet Connection,New parts,1,3907007,,1,Parts,,,,,,,New parts,
3440,3907022,600030214,3907022-CAP FILLTER,New parts,1,3907022,,1,Parts,,,,,,,New parts,
3441,3907049,600089579,3907049-Hexagon Flange Head Cap Screw,New parts,12,3907049,,1,Parts,,,,,,,New parts,
3442,3907177,600001787,"3907177-Seal, rectangular",New parts,1,3907177,,1,Parts,,,,,,,New parts,
3443,3907206,600001788,3907206-Washer Plain,New parts,50,3907206,,1,Parts,,,,,,,New parts,
3444,3907570,600082634,"3907570-PAN,OIL",New parts,1,3907570,,1,Parts,,,,,,,New parts,
3445,3907582,600001789,3907582-Tube Fuel Pump,New parts,1,3907582,,1,Parts,,,,,,,New parts,
3446,3907769,600075314,3907769-BU LONG,New parts,1,3907769,,1,Parts,,,,,,,New parts,
3447,3907782,600001790,3907782-Nozzle Injector,New parts,1,3907782,,1,Parts,,,,,,,New parts,
3448,3907860,600082635,"3907860-SCREW,HEX FLANGE HEAD CAP",New parts,8,3907860,,1,Parts,,,,,,,New parts,
3449,3908032,600031773,"3908032-CRANKSHAFT, ENGINE W/GE",New parts,1,3908032,,1,Parts,,,,,,,New parts,
3450,3908092,600095677,"3908092 - PLUG,EXPANSION",New parts,1,3908092,,1,Parts,,,,,,,New parts,
3451,3908220,600001791,3908220-Kit Seawater Pump,New parts,1,3908220,,1,Parts,,,,,,,New parts,
3452,3908221,600089580,3908221-Coupling elbow hose,New parts,1,3908221,,1,Parts,,,,,,,New parts,
3453,3908506,600003965,3908506 - NOZZLE INJECTOR,New parts,1,3908506,,1,Parts,,,,,,,New parts,
3454,3908508,600001792,"3908508-Nozzle, injector",New parts,1,3908508,,1,Parts,,,,,,,New parts,
3455,3908512,600001793,"3908512-Nozzle, injector",New parts,1,3908512,,1,Parts,,,,,,,New parts,
3456,3908514,600105060,"3908514-NOZZLE, INJECTOR",New parts,1,3908514,,1,Parts,,,,,,,New parts,
3457,3908546,600071999,3908546-VONG DEM BANH RANG,New parts,1,3908546,,1,Parts,,,,,,,New parts,
3458,3908560,600001794,3908560-Pulley Alternator,New parts,,3908560,,1,Parts,,,,,,,New parts,
3459,3908563,600001795,3908563-Retainer Alt Pulley,New parts,1,3908563,,1,Parts,,,,,,,New parts,
3460,3909356,600001799,3909356-Seal Rectangular,New parts,6,3909356,,1,Parts,,,,,,,New parts,
3461,3909548,600001800,"3909548-Hose, flexible",New parts,1,3909548,,1,Parts,,,,,,,New parts,
3462,3909696,600001801,3909696-Manifold Fuel,New parts,1,3909696,,1,Parts,,,,,,,New parts,
3463,3909886,600001802,3909886-Seal Injector,New parts,12,3909886,,1,Parts,,,,,,,New parts,
3464,3909887,600086517,"3909887-RETAINER, SHAFT",New parts,1,3909887,,1,Parts,,,,,,,New parts,
3465,3909888,600027440,"3909888-BRACKET, FAN",New parts,1,3909888,,1,Parts,,,,,,,New parts,
3466,3909889,600053493,"3909889-BRACKET, FAN",New parts,1,3909889,,1,Parts,,,,,,,New parts,
3467,3910260,600001803,3910260-Seal O Ring,New parts,6,3910260,,1,Parts,,,,,,,New parts,
3468,3910279,600001805,3910279-Clamp Injector,New parts,1,3910279,,1,Parts,,,,,,,New parts,
3469,3910284,600016135,3910284- FLYWHEEL,New parts,,3910284,,1,Parts,,,,,,,New parts,
3470,3910338,600001806,3910338-Nozzle Injector,New parts,1,3910338,,1,Parts,,,,,,,New parts,
3471,3910345,600097270,3910345-Head Screw,New parts,1,3910345,,1,Parts,,,,,,,New parts,
3472,3910495,600046209,"3910495-SCREW, HEX FLANGE HEAD",New parts,10,3910495,,1,Parts,,,,,,,New parts,
3473,3910509,600104898,3910509-Hose hose corrosion,New parts,1,3910509,,1,Parts,,,,,,,New parts,
3474,3910556,600097249,3910556-Sealing washer,New parts,,3910556,,1,Parts,,,,,,,New parts,
3475,3910583,600001808,3910583-Exchanger Head,New parts,1,3910583,,1,Parts,,,,,,,New parts,
3476,3910622,600096945,"3910622-HUB,FAN",New parts,1,3910622,,1,Parts,,,,,,,New parts,
3477,3910739,600004232,"3910739-Bearing, ball",New parts,1,3910739,,1,Parts,,,,,,,New parts,
3478,3910752,600031413,3910752-TUBE FUEL SUPPLY,New parts,1,3910752,,1,Parts,,,,,,,New parts,
3479,3910810,600001810,3910810-Lever Rocker,New parts,1,3910810,,1,Parts,,,,,,,New parts,
3480,3910811,600001811,3910811-Lever Rocker,New parts,1,3910811,,1,Parts,,,,,,,New parts,
3481,3910824,600072002,3910824- PHOT,New parts,50,3910824,,1,Parts,,,,,,,New parts,
3482,3910901,600093886,"3910901 - SCREW,HEX FLANGE HEAD CAP",New parts,2,3910901,,1,Parts,,,,,,,New parts,
3483,3910994,600093719,"3910994 - CONNECTION,EXHAUST OUTLET",New parts,1,3910994,,1,Parts,,,,,,,New parts,
3484,3911318,600072638,3911318- CANH QUAT,New parts,1,3911318,,1,Parts,,,,,,,New parts,
3485,3911413,600052722,3911413- OIL PUMP,New parts,1,3911413,,1,Parts,,,,,,,New parts,
3486,3911423,600100001,"3911423-SUPPORT,ROCKER LEVER",New parts,1,3911423,,1,Parts,,,,,,,New parts,
3487,3911446,600032731,"3911446-SCREW, BANJO CONNECTOR",New parts,2,3911446,,1,Parts,,,,,,,New parts,
3488,3911447,600031159,"3911447-FITTING, BANJO",New parts,1,3911447,,1,Parts,,,,,,,New parts,
3489,3911560,600072639,3911560- DAI TAI,New parts,1,3911560,,1,Parts,,,,,,,New parts,
3490,3911723,600094658,"3911723 - CLEANER,AIR",New parts,1,3911723,,1,Parts,,,,,,,New parts,
3491,3911901,600073033,3911901- VALVE,New parts,1,3911901,,1,Parts,,,,,,,New parts,
3492,3911924,600009281,"3911924-HUB, FAN",New parts,,3911924,,1,Parts,,,,,,,New parts,
3493,3911941,600001819,"3911941-Gasket, Turbocharger",New parts,5,3911941,,1,Parts,,,,,,,New parts,
3494,3912019,600001821,3912019-Pump Seawater,New parts,1,3912019,,1,Parts,,,,,,,New parts,
3495,3912019RX,600067306,3912019RX-PUMP WATER,Recon part,1,3912019RX,,1,Parts,,,,,,,Recon part,
3496,3912145,600092632,"3912145 - EXCHANGER,HEAT",New parts,1,3912145,,1,Parts,,,,,,,New parts,
3497,3912177,600097274,3912177-Hose elbow,New parts,1,3912177,,1,Parts,,,,,,,New parts,
3498,3912220,600096097,"3912220 - GASKET,EXH OUT CONNECTION",New parts,10,3912220,,1,Parts,,,,,,,New parts,
3499,3912473,600001822,3912473-Seal O Ring,New parts,1,3912473,,1,Parts,,,,,,,New parts,
3500,3912772,600001823,3912772-Retainer Belt,New parts,1,3912772,,1,Parts,,,,,,,New parts,
3501,3912971,600094233,3912971 - Male Adapter Elbow,New parts,1,3912971,,1,Parts,,,,,,,New parts,
3502,3913287,600094325,"3913287 - GASKET,AIR COMPRESSOR",New parts,4,3913287,,1,Parts,,,,,,,New parts,
3503,3913372,600095285,"3913372 - SCREW,HEX FLANGE HEAD CAP",New parts,1,3913372,,1,Parts,,,,,,,New parts,
3504,3913600,600016494,"3913600- HARNESS, WIRING",New parts,1,3913600,,1,Parts,,,,,,,New parts,
3505,3913601,600097444,"3913601-HARNESS,WIRING",New parts,1,3913601,,1,Parts,,,,,,,New parts,
3506,3913602,600097445,"3913602-HARNESS,WIRING",New parts,1,3913602,,1,Parts,,,,,,,New parts,
3507,3913604,600001828,3913604-Harness Wirring,New parts,1,3913604,,1,Parts,,,,,,,New parts,
3508,3913616,600010386,"3913616 - LIST , INSTRUMENT PANE",New parts,1,3913616,,1,Parts,,,,,,,New parts,
3509,3913628,600001830,3913628 - Transducer,New parts,1,3913628,,1,Parts,,,,,,,New parts,
3510,3913638,600071607,3913638- BULONG,New parts,10,3913638,,1,Parts,,,,,,,New parts,
3511,3913759,600052068,"3913759-HOSE, FLEXIBLE",New parts,1,3913759,,1,Parts,,,,,,,New parts,
3512,3913845,600072412,3913845- PHOT,New parts,1,3913845,,1,Parts,,,,,,,New parts,
3513,3913994,600001832,3913994-Seal O Ring,New parts,10,3913994,,1,Parts,,,,,,,New parts,
3514,3914035,600091271,"3914035-PLUG,EXPANSION",New parts,1,3914035,,1,Parts,,,,,,,New parts,
3515,3914047,600001833,3914047-Tube Fuel Supply,New parts,1,3914047,,1,Parts,,,,,,,New parts,
3516,3914048,600001834,3914048-Tube Fuel Supply,New parts,1,3914048,,1,Parts,,,,,,,New parts,
3517,3914049,600001835,3914049-Tube Fuel Supply,New parts,1,3914049,,1,Parts,,,,,,,New parts,
3518,3914050,600001836,3914050-Tube Fuel Supply,New parts,1,3914050,,1,Parts,,,,,,,New parts,
3519,3914051,600001837,3914051-Tube Fuel Supply,New parts,1,3914051,,1,Parts,,,,,,,New parts,
3520,3914052,600001838,3914052-Tube Fuel Supply,New parts,1,3914052,,1,Parts,,,,,,,New parts,
3521,3914081,600010387,3914081 - TRANSDUCER,New parts,1,3914081,,1,Parts,,,,,,,New parts,
3522,3914177,600046210,"3914177-SCREW, HEX FLANGE HEAD",New parts,1,3914177,,1,Parts,,,,,,,New parts,
3523,3914310,600073032,3914310- GIOANG DEM,New parts,8,3914310,,1,Parts,,,,,,,New parts,
3524,3914385,600001841,"3914385-Gasket, gear cover",New parts,5,3914385,,1,Parts,,,,,,,New parts,
3525,3914458,600090137,3914458-Fan Pulley,New parts,1,3914458,,1,Parts,,,,,,,New parts,
3526,3914463,600086103,3914463-Pulley fan,New parts,1,3914463,,1,Parts,,,,,,,New parts,
3527,3914502,600001843,3914502-Aftercooler,New parts,,3914502,,1,Parts,,,,,,,New parts,
3528,3914579,600094232,3914579 - Plain Adapter,New parts,1,3914579,,1,Parts,,,,,,,New parts,
3529,3915118,600007457,"3915118 - LIST , CAV SERVICE PAR",New parts,1,3915118,,1,Parts,,,,,,,New parts,
3530,3915119,600007458,"3915119 - SPRING , COMPRESSION",New parts,1,3915119,,1,Parts,,,,,,,New parts,
3531,3915329,600019872,"3915329- SENSOR, TEMPERATURE",New parts,1,3915329,,1,Parts,,,,,,,New parts,
3532,3915489,600085395,"3915489-HOSE,PLAIN",New parts,1,3915489,,1,Parts,,,,,,,New parts,
3533,3915772,600001845,3915772-Seal Rectangular,New parts,6,3915772,,1,Parts,,,,,,,New parts,
3534,3915787,600088879,"3915787-PLUG,THREADED",New parts,1,3915787,,1,Parts,,,,,,,New parts,
3535,3916042,600069885,3916042- GIOANG LAM KIN,New parts,6,3916042,,1,Parts,,,,,,,New parts,
3536,3916045,600089581,3916045-Flexible hose,New parts,1,3916045,,1,Parts,,,,,,,New parts,
3537,3916048,600098014,"3916048-HOSE,FLEXIBLE",New parts,1,3916048,,1,Parts,,,,,,,New parts,
3538,3916107,600089582,3916107-Hose flexible,New parts,1,3916107,,1,Parts,,,,,,,New parts,
3539,3916128,600085545,"3916128-HEATER,ENGINE",New parts,1,3916128,,1,Parts,,,,,,,New parts,
3540,3916223,600046153,"3916223-ADAPTER ,TRANSMISSION",New parts,1,3916223,,1,Parts,,,,,,,New parts,
3541,3916284,600083640,"3916284- SEAL,O RING",New parts,6,3916284,,1,Parts,,,,,,,New parts,
3542,3916301,600001846,"3916301-SWITCH, MAGNETIC",New parts,,3916301,,1,Parts,,,,,,,New parts,
3543,3916302,600001847,"3916302-Switch, magnetic",New parts,,3916302,,1,Parts,,,,,,,New parts,
3544,3916369,600001848,3916369-Screw Hexagon,New parts,1,3916369,,1,Parts,,,,,,,New parts,
3545,3916436,600066322,3916436-DAMPER,New parts,1,3916436,,1,Parts,,,,,,,New parts,
3546,3916518,600095678,"3916518 - SCREW,HEXAGON HEAD CAP",New parts,10,3916518,,1,Parts,,,,,,,New parts,
3547,3916585,600074118,3916585- BULONG,New parts,1,3916585,,1,Parts,,,,,,,New parts,
3548,3916779,600102383,"3916779-HOSE,FLEXIBLE",New parts,1,3916779,,1,Parts,,,,,,,New parts,
3549,3917002,600001852,3917002-Pump Injector,New parts,1,3917002,,1,Parts,,,,,,,New parts,
3550,3917002RX,600043638,3917002RX-FUEL PUMP,Recon part,1,3917002RX,,1,Parts,,,,,,,Recon part,
3551,3917074,600030755,"3917074-HOSE, FLEXIBLE",New parts,1,3917074,,1,Parts,,,,,,,New parts,
3552,3917123,600001853,3917123-Tranducer,New parts,1,3917123,,1,Parts,,,,,,,New parts,
3553,3917391,600087429,"3917391-FILTER,FUEL",New parts,1,3917391,,1,Parts,,,,,,,New parts,
3554,3917700,600104798,"3917700-MANIFOLD,EXHAUST",New parts,1,3917700,,1,Parts,,,,,,,New parts,
3555,3917729,600001855,3917729-Screws Hex,New parts,12,3917729,,1,Parts,,,,,,,New parts,
3556,3917746,600029070,"3917746 - ISOLATOR, VIBRATION",New parts,2,3917746,,1,Parts,,,,,,,New parts,
3557,3917747,600029071,"3917747 - ISOLATOR, VIBRATION",New parts,2,3917747,,1,Parts,,,,,,,New parts,
3558,3917780,600012204,"3917780 - GASKET , GEAR COVER",New parts,1,3917780,,1,Parts,,,,,,,New parts,
3559,3917846,600016799,"3917846- PICKUP, MAGNETIC",New parts,1,3917846,,1,Parts,,,,,,,New parts,
3560,3917945,600001856,3917945-Disc Intermediate,New parts,1,3917945,,1,Parts,,,,,,,New parts,
3561,3918109,600079775,"3918109 - SCREW,HEX FLANGE HEAD CAP",New parts,10,3918109,,1,Parts,,,,,,,New parts,
3562,3918113,600001857,3918113-Shield Dust,New parts,1,3918113,,1,Parts,,,,,,,New parts,
3563,3918160,600015379,3918160- FLEXPLATE,New parts,1,3918160,,1,Parts,,,,,,,New parts,
3564,3918167,600074119,3918167- ONG DAU,New parts,1,3918167,,1,Parts,,,,,,,New parts,
3565,3918174,600001858,3918174-Gasket oil cooler,New parts,5,3918174,,1,Parts,,,,,,,New parts,
3566,3918188,600001860,3918188-Washer Seal,New parts,4,3918188,,1,Parts,,,,,,,New parts,
3567,3918192,600009329,"3918192 - WASHER , SEALING",New parts,4,3918192,,1,Parts,,,,,,,New parts,
3568,3918251,600014514,3918251-VOLTMETER,New parts,,3918251,,1,Parts,,,,,,,New parts,
3569,3918275,600075752,"3918275-PULLEY, ALTERNATOR",New parts,1,3918275,,1,Parts,,,,,,,New parts,
3570,3918315,600033034,"3918315-RING, COMPRESSION PISTON",New parts,1,3918315,,1,Parts,,,,,,,New parts,
3571,3918428,600001863,3918428-Plunger Regulator,New parts,1,3918428,,1,Parts,,,,,,,New parts,
3572,3918486,600097247,3918486-Heat exchange gasket,New parts,1,3918486,,1,Parts,,,,,,,New parts,
3573,3918487,600097248,3918487-Heat exchange cover,New parts,1,3918487,,1,Parts,,,,,,,New parts,
3574,3918493,600097275,3918493-Hose flexible,New parts,1,3918493,,1,Parts,,,,,,,New parts,
3575,3918495,600097272,3918495-Hose flexible,New parts,1,3918495,,1,Parts,,,,,,,New parts,
3576,3918521,600104893,3918521-Clamp hose,New parts,1,3918521,,1,Parts,,,,,,,New parts,
3577,3918539,600102382,"3918539 - TUBE,FUEL SUPPLY",New parts,1,3918539,,1,Parts,,,,,,,New parts,
3578,3918562,600073145,3918562- ONG NOI MEM,New parts,1,3918562,,1,Parts,,,,,,,New parts,
3579,3918611,600031115,"3918611-HOSE, PLAIN",New parts,1,3918611,,1,Parts,,,,,,,New parts,
3580,3918614,600089583,3918614-Hose plain,New parts,1,3918614,,1,Parts,,,,,,,New parts,
3581,3918673,600028627,"3918673-GASKET, GEAR COVER",New parts,1,3918673,,1,Parts,,,,,,,New parts,
3582,3918685,600079293,"3918685 - PIPE,AIR TRANSFER",New parts,1,3918685,,1,Parts,,,,,,,New parts,
3583,3918777,600014817,"3918777- GEAR, CAMSHAFT",New parts,1,3918777,,1,Parts,,,,,,,New parts,
3584,3918779,600080471,"3918779 GASKET,CONNECTION",New parts,1,3918779,,1,Parts,,,,,,,New parts,
3585,3918970,600052759,"3918970- PUMP, INJECTION STANADYNE",New parts,1,3918970,,1,Parts,,,,,,,New parts,
3586,3918972,600027547,"3918972 - PUMP, INJECTION STANADY",New parts,1,3918972,,1,Parts,,,,,,,New parts,
3587,3918973,600015540,"3918973 - PUMP, INJECTON STANADY",New parts,1,3918973,,1,Parts,,,,,,,New parts,
3588,3918986,600010520,3918986 - CRANKSHAFT ENGINE,New parts,1,3918986,,1,Parts,,,,,,,New parts,
3589,3918999,600044642,3918999-VIBRATION DAMPER,New parts,1,3918999,,1,Parts,,,,,,,New parts,
3590,3919299,600001870,"3919299-Nozzle, injector",New parts,1,3919299,,1,Parts,,,,,,,New parts,
3591,3919303,600088345,"3919303-NOZZLE,INJECTOR",New parts,1,3919303,,1,Parts,,,,,,,New parts,
3592,3919358,600004136,"3919358 - SLEEVE , INJECTOR",New parts,1,3919358,,1,Parts,,,,,,,New parts,
3593,3919359,600029072,"3919359 - ISOLATOR, VIBRATION",New parts,2,3919359,,1,Parts,,,,,,,New parts,
3594,3919369,600001872,"3919369-Gasket, turbocharger",New parts,5,3919369,,1,Parts,,,,,,,New parts,
3595,3919435,600001874,3919435-Shaft Rocker Lever,New parts,1,3919435,,1,Parts,,,,,,,New parts,
3596,3919624,600091278,"3919624-PULLEY,ACCESSORY DRIVE",New parts,1,3919624,,1,Parts,,,,,,,New parts,
3597,3919677,600099761,"3919677-MANIFOLD,OIL",New parts,1,3919677,,1,Parts,,,,,,,New parts,
3598,3919687,600052069,"3919687-CONNECTOR, FEMALE",New parts,1,3919687,,1,Parts,,,,,,,New parts,
3599,3919721,600001875,3919721-Nozzle,New parts,1,3919721,,1,Parts,,,,,,,New parts,
3600,3919727,600014129,"3919727 -NOZZLE, INJECTOR",New parts,1,3919727,,1,Parts,,,,,,,New parts,
3601,3919815,600074117,3919815- ONG DAU,New parts,1,3919815,,1,Parts,,,,,,,New parts,
3602,3919853,600091135,"3919853-SEAL,O RING",New parts,1,3919853,,1,Parts,,,,,,,New parts,
3603,3919864,600095788,"3919864 - SCREW,HEX FLANGE HEAD CAP",New parts,1,3919864,,1,Parts,,,,,,,New parts,
3604,3920173,600104899,3920173-Hose plain exh. corrosion,New parts,1,3920173,,1,Parts,,,,,,,New parts,
3605,3092282,600102095,3092282-Regular Hexagon Nut,New parts,1,3092282,,1,Parts,,,,,,,New parts,
3606,3920221,600028610,"3920221-TUNBE, FUEL SUPPLY",New parts,1,3920221,,1,Parts,,,,,,,New parts,
3607,3920223,600097894,"3920223 - Tube, Injector Fuel Supply",New parts,1,3920223,,1,Parts,,,,,,,New parts,
3608,3920233,600070472,3920233-ONG NHIEN LIEU,New parts,1,3920233,,1,Parts,,,,,,,New parts,
3609,3920235,600070473,3920235-ONG NHIEN LIEU,New parts,1,3920235,,1,Parts,,,,,,,New parts,
3610,3920236,600070474,3920236-ONG NHIEN LIEU,New parts,1,3920236,,1,Parts,,,,,,,New parts,
3611,3920237,600070475,3920237-ONG NHIEN LIEU,New parts,1,3920237,,1,Parts,,,,,,,New parts,
3612,3920238,600070476,3920238-ONG NHIEN LIEU,New parts,1,3920238,,1,Parts,,,,,,,New parts,
3613,3920400,600065620,"3920400-SCREW,HEX FLANGE HEAD CAP",New parts,1,3920400,,1,Parts,,,,,,,New parts,
3614,3920443,600001878,3920443-Plug Expansion,New parts,1,3920443,,1,Parts,,,,,,,New parts,
3615,3920595,600014182,3920595 -MANIFOLD FUEL,New parts,1,3920595,,1,Parts,,,,,,,New parts,
3616,3920691,600001880,3920691-Ring retaining,New parts,1,3920691,,1,Parts,,,,,,,New parts,
3617,3920692,600007480,3920692 -RING  RETAINER,New parts,2,3920692,,1,Parts,,,,,,,New parts,
3618,3920706,600077668,"3920706-PLUG,EXPANSION",New parts,24,3920706,,1,Parts,,,,,,,New parts,
3619,3920758,600001881,3920758-Housing Gear,New parts,1,3920758,,1,Parts,,,,,,,New parts,
3620,3920762,600001882,3920762-Elbow Hose,New parts,1,3920762,,1,Parts,,,,,,,New parts,
3621,3920773,600082639,"3920773-WASHER,SEALING",New parts,6,3920773,,1,Parts,,,,,,,New parts,
3622,3920779,600001883,3920779-Screw,New parts,6,3920779,,1,Parts,,,,,,,New parts,
3623,3920780,600001884,3920780-Screw,New parts,10,3920780,,1,Parts,,,,,,,New parts,
3624,3920781,600091731,"3920781-  SCREW,HEX FLANGE HEAD CAP",New parts,6,3920781,,1,Parts,,,,,,,New parts,
3625,3920867,600015136,"3920867- VALVE, INTAKE",New parts,1,3920867,,1,Parts,,,,,,,New parts,
3626,3920868,600032736,"3920868-VALVE, EXHAUST",New parts,1,3920868,,1,Parts,,,,,,,New parts,
3627,3920891,600001885,3920891-Tube Fuel Drain,New parts,1,3920891,,1,Parts,,,,,,,New parts,
3628,3920946,600095679,"3920946 - CONNECTION,WATER TRANSFER",New parts,1,3920946,,1,Parts,,,,,,,New parts,
