Material,Material Description,Material type,Plant,Storage location,Material Group,DF stor. loc. level,Base Unit of Measure,Unrestricted,Currency,Value Unrestricted,Transit and Transfer,Val. in Trans./Tfr,Quality Inspection,Value in QualInsp.,Restricted-Use Stock,Value Restricted,Blocked,Value BlockedStock,Returns,Value Rets Blocked
600000593,"3010242-Set, fuel pump gasket",ZSP,VN49,1100,7063,,PC,1,VND,"576,186",0,0,0,0,0,0,0,0,0,0
600000593,"3010242-Set, fuel pump gasket",ZSP,VN49,1100,7063,,PC,2,VND,"1,152,373",0,0,0,0,0,0,0,0,0,0
600000598,"3010617-Seal, o ring",ZSP,VN49,9300,7063,,PC,1,VND,"1,510,074",0,0,0,0,0,0,0,0,0,0
600000601,3011076-Gioang,ZSP,VN49,1100,7063,,PC,5,VND,"717,560",0,0,0,0,0,0,0,0,0,0
600000613,"3013591-Nozzle, piston cooling",ZSP,VN49,1100,7063,,PC,60,VND,"5,802,525",0,0,0,0,0,0,0,0,0,0
600000615,3013811-Diaphragm,ZSP,VN49,1100,7063,,PC,10,VND,"4,464,335",0,0,0,0,0,0,0,0,0,0
600000615,3013811-Diaphragm,ZSP,VN49,1100,7063,,PC,19,VND,"8,482,236",0,0,0,0,0,0,0,0,0,0
600000615,3013811-Diaphragm,ZSP,VNT0,1100,7063,,PC,1,VND,"397,481",0,0,0,0,0,0,0,0,0,0
600000629,3016760-Bearing Con Rod,ZSP,VN49,1100,7063,,PC,24,VND,"11,492,957",0,0,0,0,0,0,0,0,0,0
600000629,3016760-Bearing Con Rod,ZSP,VN49,1100,7063,,PC,12,VND,"5,746,479",0,0,0,0,0,0,0,0,0,0
600000629,3016760-Bearing Con Rod,ZSP,VNT0,1100,7063,,PC,12,VND,"5,625,973",0,0,0,0,0,0,0,0,0,0
600000629,3016760-Bearing Con Rod,ZSP,VNT0,1100,7063,,PC,12,VND,"5,625,973",0,0,0,0,0,0,0,0,0,0
